case,qubits,setting,ordering,exact_delta,mps_delta,correct_sign,rigorous_certified,event_angle_lr_interval,event_angle_mr_interval,event_angle_decision,event_angle_certified,event_angle_certified_correct,sum_w_pair_width,sum_w_accepted,sum_w_accepted_correct,sqrt_sum_w_pair_width,sqrt_sum_w_accepted,sqrt_sum_w_accepted_correct,product_trace_pair_width,product_trace_accepted,product_trace_accepted_correct,rss_angle_pair_width,rss_angle_accepted,rss_angle_accepted_correct
chesapeake,7,cutoff1e-5,sorted,-0.13421359145382505,-0.13426094643799846,True,False,"[0.6297157190577739, 0.924744767503113]","[0.5698250755484807, 0.7516974853350872]",,False,False,0.0005867309526930367,True,True,0.0339268590297022,True,True,0.033924326174576684,True,True,0.03392517037352184,True,True
chesapeake,7,cutoff1e-5,spectral,-0.13421359145382672,-0.13434704760348626,True,False,"[0.6434603631464721, 0.9169232813761254]","[0.5873056169511254, 0.7359375864861307]",,False,False,0.0004991740941850001,True,True,0.031161003693493936,True,True,0.031158995470580198,True,True,0.03115966481781221,True,True
football,7,released,sorted,0.01926887487931439,0.051857317667490244,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.15236135506820842,False,False,0.5518277325201492,False,False,0.5415417319024135,False,False,0.544887555579097,False,False
football,7,released,spectral,0.019268874879312947,0.03901094660400939,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.11050651718275002,False,False,0.4693494431945513,False,False,0.46295982884025066,False,False,0.46505186453570113,False,False
football,7,confirm,sorted,0.01926887487931439,0.019192413805283026,True,False,"[0.12333313870796436, 1.0]","[0.4741296260269991, 1.0]",,False,False,0.00884469417298543,True,True,0.13177837591101896,False,False,0.13162946380302432,False,False,0.13167902486579025,False,False
football,7,confirm,spectral,0.019268874879312947,0.020595144084816552,True,False,"[0.19572453643483603, 1.0]","[0.5132281646961964, 1.0]",,False,False,0.0073883266634000005,True,True,0.12090517204874646,False,False,0.12079290125893914,False,False,0.12083027867691543,False,False
football,7,bond128,sorted,0.01926887487931439,0.0192688760226275,True,True,"[0.8627675350254949, 0.8627680863280682]","[0.8820365866994564, 0.8820367866994563]",1,True,True,2.0000006514674998e-07,True,True,4.5523861384986404e-07,True,True,4.5528433470445595e-07,True,True,4.5523861384986404e-07,True,True
football,7,bond128,spectral,0.019268874879312947,0.019268875426297738,True,True,"[0.8627672485156997, 0.862768374038984]","[0.8820365867039679, 0.8820367867039678]",1,True,True,2.0000023920265e-07,True,True,6.890834795819627e-07,True,True,6.891350138834075e-07,True,True,6.890834795819549e-07,True,True
football,7,cutoff1e-4,sorted,0.01926887487931439,0.019192413805283026,True,False,"[0.12333313870796436, 1.0]","[0.4741296260269991, 1.0]",,False,False,0.00884469417298543,True,True,0.13177837591101896,False,False,0.13162946380302432,False,False,0.13167902486579025,False,False
football,7,cutoff1e-4,spectral,0.019268874879312947,0.020595144084816552,True,False,"[0.19572453643483603, 1.0]","[0.5132281646961964, 1.0]",,False,False,0.0073883266634000005,True,True,0.12090517204874646,False,False,0.12079290125893914,False,False,0.12083027867691543,False,False
football,7,cutoff1e-5,sorted,0.01926887487931439,0.01942736134952372,True,False,"[0.7155832239919844, 0.9616289618751173]","[0.832720574844545, 0.9235887749890266]",,False,False,0.0005413798659854276,True,True,0.03205611409764202,False,False,0.032053772840499685,False,False,0.03205455317543127,False,False
football,7,cutoff1e-5,spectral,0.019268874879312947,0.019201603655685462,True,False,"[0.7374767409799744, 0.9518139674258005]","[0.8327989543195153, 0.9233922669939354]",,False,False,0.0004927196830500001,True,True,0.03087113816141522,False,False,0.030869161779616395,False,False,0.03086982051351162,False,False
ibm32,18,released,sorted,-0.2461230011281299,-0.21968143006990082,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,2.0000002,False,False,2.0000002,False,False,1.6764115284346999,False,False,1.7832287721512083,False,False
ibm32,18,released,spectral,-0.24612300112813046,-0.23394012517174845,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,1.8654984502918845,False,False,1.9303217843416107,False,False,1.556871069988826,False,False,1.6441392865201367,False,False
ibm32,18,confirm,sorted,-0.2461230011281299,-0.2549044372349156,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.3619784605459727,False,False,0.8502070758968766,False,False,0.8130648977143334,False,False,0.8247276105577352,False,False
ibm32,18,confirm,spectral,-0.24612300112813046,-0.2539356273164466,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.25935272340610976,False,False,0.7199162016173225,False,False,0.6971748579438894,False,False,0.7044418955221624,False,False
ibm32,18,bond128,sorted,-0.2461230011281299,-0.24067150437758753,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.0729465428360837,True,True,0.34688911519792354,False,False,0.34268663184945736,False,False,0.3440601892733838,False,False
ibm32,18,bond128,spectral,-0.24612300112813046,-0.24294005408871838,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.04088432393155514,True,True,0.2570066438016259,False,False,0.25520964965570236,False,False,0.2558019672511267,False,False
ibm32,18,cutoff1e-4,sorted,-0.2461230011281299,-0.2568107844888618,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.34978476007437276,False,False,0.836181980599748,False,False,0.80090096708045,False,False,0.8120061198173126,False,False
ibm32,18,cutoff1e-4,spectral,-0.24612300112813046,-0.2543459795359839,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.25631685049860975,False,False,0.7157938012844101,False,False,0.6934521151955251,False,False,0.7005955684062217,False,False
ibm32,18,cutoff1e-5,sorted,-0.2461230011281299,-0.2483472268378265,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.033208294476416475,True,True,0.2575321289821892,False,False,0.25646436090324215,False,False,0.25681839640630344,False,False
ibm32,18,cutoff1e-5,spectral,-0.24612300112813046,-0.24781791088175686,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.02454377219487844,True,True,0.22144257430824127,True,True,0.22076400950621955,True,True,0.22098931353436713,True,True
aves-sparrow-social,24,released,sorted,-0.012138851891427882,0.1384790227042308,False,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,1.9694670821897726,False,False,1.9846342312231025,False,False,1.5830715541266478,False,False,1.6746608005077768,False,False
aves-sparrow-social,24,released,spectral,-0.012138851891427882,0.10527255991783946,False,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,1.3495428799192715,False,False,1.64261044435471,False,False,1.400836625983895,False,False,1.4640097788795707,False,False
aves-sparrow-social,24,confirm,sorted,-0.012138851891427882,0.001344596747940685,False,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.3098695174964979,False,False,0.7870815786567612,False,False,0.7575492954554864,False,False,0.7669081055805044,False,False
aves-sparrow-social,24,confirm,spectral,-0.012138851891427882,0.0018166332853080114,False,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.20806403206510127,False,False,0.6443620882106214,False,False,0.6279030026512753,False,False,0.6332059751802379,False,False
aves-sparrow-social,24,bond128,sorted,-0.012138851891427882,-0.0037165090616874674,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.04527690061849055,False,False,0.28647148209592416,False,False,0.28459223892504837,False,False,0.2852122161544924,False,False
aves-sparrow-social,24,bond128,spectral,-0.012138851891427882,-0.011907334518310442,True,False,"[0.22457810685294655, 0.4307062579448113]","[0.016713051405063798, 0.7561817292436579]",,False,False,0.0008814569652243002,True,True,0.037077277555499756,False,False,0.03707144587664451,False,False,0.037073389288352236,False,False
aves-sparrow-social,24,cutoff1e-4,sorted,-0.012138851891427882,0.0008557007150979956,False,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.3077190727494979,False,False,0.7843933029819025,False,False,0.7551657664158304,False,False,0.7644316803141951,False,False
aves-sparrow-social,24,cutoff1e-4,spectral,-0.012138851891427882,0.0018166332853080114,False,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.20806403206510127,False,False,0.6443620882106214,False,False,0.6279030026512753,False,False,0.6332059751802379,False,False
aves-sparrow-social,24,cutoff1e-5,sorted,-0.012138851891427882,-0.012234769944264812,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.03053422234062212,False,False,0.2470941636294745,False,False,0.2461541634207601,False,False,0.24646598014782795,False,False
aves-sparrow-social,24,cutoff1e-5,spectral,-0.012138851891427882,-0.012830924794531184,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.024500159284824578,False,False,0.22123016263906525,False,False,0.2205532148374837,False,False,0.22077798277467098,False,False
